input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue,directors_other,cast_other,keywords_other
"""Sr.""",Unknown,True,857832,SR Kalyanamandapam,2021-08-06,145.0,Comedy; Drama; Romance,,,Unknown,Elite Entertainments,other,0.0,0.0,Sridhar Gade,Kiran Abbavaram; Priyanka Jawalkar; Sai Kumar; Tulasi; Rajsekhar Aningi; Srikanth Iyengar; Tanikella Bharani; Thummala Narasimha Reddy; Gangavva,
#Alive,2020.0,True,758534,Be Alive Just Like You,2020-12-04,91.0,Drama; Romance,,,Unknown,MM2 Entertainment,zh,0.0,0.0,Lai Meng-Chieh,Rexen Cheng Jen-Shuo; Ally Chiu; Jieh-Wen King; Alice Tsai-yi Huang; Cheng Chih-wei,
'71,Unknown,True,252178,'71,2014-10-10,99.0,Thriller; Action; Drama; War,,Jack O'Connell; Sean Harris; Paul Anderson; Barry Keoghan,"1970s; riot; northern ireland; survival; soldier; ira (irish republican army); explosion; combat; belfast, north ireland",BFI; Screen Yorkshire; Creative Scotland; Warp Films; Crab Apple Films; Film4 Productions,en,11000000.0,3200000.0,Yann Demange,Sam Reid; Sam Hazeldine; Charlie Murphy; Richard Dormer; Killian Scott; Babou Ceesay,abandoned
(500) Days of Summer,Unknown,True,19913,(500) Days of Summer,2009-07-17,95.0,Comedy; Drama; Romance,Marc Webb,Joseph Gordon-Levitt; Zooey Deschanel; Chloë Grace Moretz; Matthew Gray Gubler; Clark Gregg,"jealousy; fight; date; architect; interview; sister; love; friends; fate; los angeles, california; summer; assertive",Fox Searchlight Pictures; Watermark Pictures; Dune Entertainment III,en,7500000.0,60781545.0,,Geoffrey Arend; Patricia Belcher; Rachel Boston; Minka Kelly; Charles Walker,gallery; year; heartache
...And Justice for All,Unknown,True,17443,...And Justice for All,1979-10-19,119.0,Drama,Norman Jewison,Al Pacino; Jack Warden; Craig T. Nelson; Jeffrey Tambor,lawyer; courtroom; extramarital affair; courtroom drama; legal thriller; bitter,Columbia Pictures,en,6000000.0,33300000.0,,John Forsythe; Lee Strasberg; Christine Lahti; Sam Levene; Robert Christian; Thomas G. Waites,
101 Dalmatians,Unknown,True,11674,101 Dalmatians,1996-11-27,103.0,Family; Comedy,Stephen Herek,Glenn Close; Jeff Daniels; Joely Richardson; Joan Plowright; Hugh Laurie; John Shrapnel; Tim McInnerny,"london, england; fur; fashion designer; puppy; based on children's book; dog; dalmatian; female villain; pets; live action remake; playful",Great Oaks Entertainment; Walt Disney Pictures; Wizzer Productions,en,54000000.0,320689294.0,,Mark Williams; Hugh Fraser; Zohren Weiss,fur coat
"10,000 BC",Unknown,True,7840,"10,000 BC",2008-03-04,109.0,Adventure; Action; Drama; Fantasy,Roland Emmerich,Camilla Belle; Cliff Curtis,hunter; indigenous; fighter; female lover; pyramid; mammoth; mountain village; stone age; prehistory; saber-toothed tiger; admiring,"Centropolis Entertainment; Legendary Pictures; The Department of Trade, Industry and Competition of South Africa; Moonlighting Films; Warner Bros. Pictures",en,105000000.0,269784201.0,,Steven Strait; Nathanael Baring; Mo Zinal; Affif Ben Badra; Mona Hammond; Marco Khan; Reece Ritchie; Joel Fry,sapient; primitive time
10 Cloverfield Lane,Unknown,True,333371,10 Cloverfield Lane,2016-03-10,104.0,Thriller; Science Fiction; Drama; Horror,Dan Trachtenberg,John Goodman; Mary Elizabeth Winstead; John Gallagher Jr.; Bradley Cooper,kidnapping; paranoia; bunker; basement; survivalist; apocalypse; car accident; captive,Bad Robot,en,15000000.0,110216998.0,,Douglas M. Griffin; Suzanne Cryer; Sumalee Montano; Frank Mottek,
101 Dalmatians II: Patch's London Adventure,Unknown,True,13654,101 Dalmatians II: Patch's London Adventure,2003-03-02,74.0,Family; Animation; Adventure; Comedy,,Jason Alexander; Martin Short; Susanne Blakeslee; Maurice LaMarche; Jeff Bennett; Jodi Benson,"london, england; cartoon; sequel; puppy; dog; dalmatian; aftercreditsstinger",Disney Television Animation; DisneyToon Studios; Walt Disney Pictures,en,0.0,0.0,Jim Kammerud; Brian Smith,Barry Bostwick; Bobby Lockwood; Samuel West; Tim Bentinck,
10 Things I Hate About You,Unknown,True,4951,10 Things I Hate About You,1999-03-30,97.0,Comedy; Romance; Drama,,Heath Ledger; Julia Stiles; Joseph Gordon-Levitt; David Krumholtz; Gabrielle Union; Larry Miller,high school; deception; based on play or musical; coming of age; teen movie; valentine's day; shakespeare in modern dress; opposites attract; duringcreditsstinger; teenage romance; overprotective father,Mad Chance; Jaret Entertainment,en,16000000.0,53478166.0,Gil Junger,Larisa Oleynik; Andrew Keegan; Susan May Pratt; Daryl Mitchell,shrew
12 Angry Men,Unknown,True,389,12 Angry Men,1957-04-10,97.0,Drama,Sidney Lumet,Martin Balsam; John Fiedler; E.G. Marshall; Jack Warden; Henry Fonda,death penalty; court case; court; judge; jurors; father murder; class; innocence; based on play or musical; black and white; courtroom; courtroom drama,United Artists; Orion-Nova Productions,en,397751.0,4360000.0,,Lee J. Cobb; Jack Klugman; Edward Binns; Joseph Sweeney; Ed Begley,anonymity; heat; puerto rico; dialog driven; persidangan; sidang
12 Strong,Unknown,True,429351,12 Strong,2018-01-18,130.0,War; Drama; Action; History,,Chris Hemsworth; Michael Shannon; Michael Peña; Trevante Rhodes; Austin Stowell; Jack Kesy,central intelligence agency (cia); based on novel or book; afghanistan; based on true story; taliban; post 9/11,Torridon Films; Alcon Entertainment; Black Label Media; Jerry Bruckheimer Films; 16:14 Entertainment,en,35000000.0,67450815.0,Nicolai Fuglsig,Navid Negahban; Geoff Stults; Thad Luckinbill; Ben O'Toole,
13 Assassins,Unknown,True,58857,13 Assassins,2010-09-25,141.0,Adventure; Drama; Action,,Koji Yakusho,suicide; mission; japan; assassin; samurai; immortality; swordsman; massacre; battle; samurai sword; kimono; jidaigeki; edo period; warrior; 19th century,TOHO; Sedic International; Toei Studios Kyoto; OLM; TV Asahi Music; IMAGICA; TV Asahi; dentsu; Shogakukan; The Asahi Shimbun; Asahi Broadcasting Corporation; Nagoya Broadcasting Network; Kyushu Asahi Broadcasting; Television Hokkaido Broadcasting; Yahoo! Japan; TSUTAYA Group; Hiroshima Home Television; Sedic Deux; Raku Film; Recorded Picture Company; HanWay Films; Japan Action Enterprise,ja,6000000.0,17555141.0,Takashi Miike,Takayuki Yamada; Yūsuke Iseya; Goro Inagaki; Kazue Fukiishi; Hiroki Matsukata; Tsuyoshi Ihara; Ikki Sawamura; Arata Furuta; Sousuke Takaoka,seppuku; code of honor; ronin; harakiri; bakumatsu
127 Hours,Unknown,True,44115,127 Hours,2010-11-12,94.0,Adventure; Drama; Thriller,Danny Boyle,James Franco; Kate Mara; Amber Tamblyn; Lizzy Caplan; Treat Williams,canyon; based on novel or book; utah; photography; despair; hiking; biography; engineer; based on true story; alone; struggle for survival; trapped; cavern; adventurer; rock climbing; isolated; memories,Fox Searchlight Pictures; Pathé; Everest Entertainment; Cloud Eight Films; Decibel Films; DSP; Film4 Productions; Dune Entertainment; Big Screen Productions; Down Productions,en,18000000.0,35700000.0,,Clémence Poésy; Kate Burton; Sean Bott; Fenton Quinn; John Lawrence,mountain biking; boulder; video recorder; hikers; hallucinations; desperation
13 Going on 30,Unknown,True,10096,13 Going on 30,2004-04-13,98.0,Comedy; Fantasy; Romance,Gary Winick,Jennifer Garner; Mark Ruffalo; Judy Greer; Andy Serkis; Kathy Baker,new york city; photographer; editor-in-chief; time travel; wish; beautiful woman; friends in love; age change; teenager; didactic; time jump,Columbia Pictures; Revolution Studios; Thirteen Productions,en,37000000.0,96500000.0,,Phil Reeves; Sam Ball; Marcia DeBonis; Christa B. Allen; Sean Marquette,child as an adult; adult
102 Dalmatians,Unknown,True,10481,102 Dalmatians,2000-10-07,100.0,Family; Comedy,Kevin Lima,Glenn Close; Ioan Gruffudd; Tim McInnerny; Eric Idle; Ian Richardson; Jim Carter,"prison; london, england; release from prison; parrot; women's prison; puppy; dog; dalmatian; live action remake; playful",Walt Disney Pictures; Cruella Productions; Kanzaman S.A.M.,en,85000000.0,183611771.0,,Gérard Depardieu; Alice Evans; Ben Crompton; Carol MacReady,pelz
12 Years a Slave,Unknown,True,76203,12 Years a Slave,2013-10-18,134.0,Drama; History,Steve McQueen,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o; Benedict Cumberbatch; Paul Dano; Sarah Paulson; Scoot McNairy; Paul Giamatti; Brad Pitt,slavery; plantation; based on memoir or autobiography; physical abuse; black slave; usa history; slave owner; 19th century; landowner; abuse of power; african american history,New Regency Pictures; Plan B Entertainment; River Road Entertainment; Regency Enterprises; Film4 Productions,en,20000000.0,187000000.0,,Adepero Oduye,violin player; sold into slavery; abolitionist
13 Hours: The Secret Soldiers of Benghazi,Unknown,True,300671,13 Hours: The Secret Soldiers of Benghazi,2016-01-14,144.0,War; Action; History; Drama; Thriller,Michael Bay,John Krasinski; James Badge Dale; Max Martini; David Denman,central intelligence agency (cia); based on novel or book; assault rifle; grave; mercenary; melancholy; heroism; biography; based on true story; explosion; biting; american abroad; death; blunt; mourning; questioning; angry; aggressive; frantic; grim; reflective; complex; anxious; cautionary; provocative; factual; critical; incredulous; tense; intense; bitter; appreciative; baffled; bewildered; bold; commanding; defiant; dignified; disapproving; disdainful; disheartening; enraged; foreboding; frustrated; harsh; informative; scathing; sincere; sympathetic; tragic; wry,Paramount Pictures; 3 Arts Entertainment; Bay Films,en,50000000.0,69411370.0,,Dominic Fumusa; Pablo Schreiber; Matt Letscher; Alexia Barlier; David Costabile; Payman Maadi,libya; u.s. ambassador
13th,Unknown,True,407806,13th,2016-10-07,100.0,Documentary,Ava DuVernay,,prison; politics; slavery; race politics; murder; conspiracy; racism; race; illegal drugs; woman director; usa history; social & cultural documentary; african american history,Kandoo Films; MakeMake,en,0.0,0.0,,"Jelani Cobb; Angela Davis; Henry Louis Gates, Jr.; Michelle Alexander; Cory Booker; Marie Gottschalk; Michael Hough; Gina Clayton; David Keene; James Kilgore",political correctness; political debate; political documentary
1941,1941.0,True,236578,1941,1941-11-14,4.0,,Francis Lee,Unknown,avant-garde; short film,,en,0.0,0.0,,,
2 Guns,Unknown,True,136400,2 Guns,2013-08-02,109.0,Action; Comedy; Crime,Baltasar Kormákur,Denzel Washington; Mark Wahlberg; Paula Patton; Edward James Olmos; Bill Paxton; James Marsden; Fred Ward; Robert John Burke; Patrick Fischler,undercover agent; undercover; based on comic; money; fugitive; bank robbery; dea agent,Universal Pictures; Marc Platt Productions; EFO Films; Envision Entertainment; Foresight Unlimited; Oasis Entertainment; Herrick Entertainment; BOOM! Studios; Empyre Media Capital,en,61000000.0,131940411.0,,Greg Sproles,
16 Wishes,Unknown,True,40205,16 Wishes,2010-10-02,90.0,Fantasy; Drama; Family,,Debby Ryan,high school; magic; fairy; birthday party; growing up; candle; former best friend; sweet sixteen; friends in love; wishes come true; high school rivalry,MarVista Entertainment,en,0.0,0.0,Peter DeLuise,Jean-Luc Bilodeau; Anna Mae Wills; Karissa Tynes; Brenda Crichlow; Kendall Cross; Joel Semande; Gary Jones; Keenan Tracey; Cainan Wiebe,wasp
1917,1917.0,True,1298965,Women's Football in Gävle in 1917,1917-12-01,1.0,Documentary,Unknown,Unknown,Unknown,,sv,0.0,0.0,,,
1922,2017.0,True,452507,1922,2017-10-20,102.0,Horror; Crime; Drama,,Thomas Jane; Molly Parker; Neal McDonough; Brian d'Arcy James,based on novel or book; parent child relationship; greed; ranch; haunted house; haunting; hallucination; murder; corpse; cynical; guilt; vengeful ghost; farmer; rat; guilty conscience; hopeless; grim; cautionary; cornfield; callous; horrified,Campfire Studios; Lighthouse Pictures,en,5000000.0,2943477.0,Zak Hilditch,Dylan Schmid; Kaitlyn Bernard; Tanya Champoux; Bob Frazer; Eric Keenleyside; Patrick Keating,stealing money; hidden corpse
1408,Unknown,True,3021,1408,2007-06-22,104.0,Horror; Mystery,,John Cusack; Samuel L. Jackson; Tony Shalhoub,hotel; hotel room; new york city; research; fire; husband wife relationship; loss of loved one; door; painting; telephone; haunted house; writer,Dimension Films; di Bonaventura Pictures,en,25000000.0,133000000.0,Mikael Håfström,Mary McCormack; Jasmine Jessica Anthony; Alexandra Silber; Noah Lee Margetts; William Armstrong; Paul Birchard; Margot Leicester,window; ghost hunter
17 Again,Unknown,True,16996,17 Again,2009-03-11,102.0,Comedy; Fantasy; Drama; Romance,Burr Steers,Zac Efron; Leslie Mann; Thomas Lennon; Michelle Trachtenberg,high school; affectation; fake identity; bullying; high school sports; adult as a child; age change; lighthearted; amused; enchant,New Line Cinema; Offspring Entertainment,en,20000000.0,136300000.0,,Sterling Knight; Matthew Perry; Tyler Steelman; Allison Miller; Adam Gregory; Hunter Parrish,do over
2010: The Year We Make Contact,1984.0,True,4437,2010,1984-12-06,116.0,Thriller; Science Fiction,Peter Hyams,Roy Scheider; John Lithgow; Helen Mirren; Bob Balaban,jupiter; super computer; space travel; space mission; ghost ship; sequel; space; astronaut; monolith; space opera; near future,Metro-Goldwyn-Mayer,en,28000000.0,40400000.0,,Keir Dullea; Douglas Rain; Madolyn Smith Osborne; Savely Kramarov; Taliesin Jaffe; James McEachin,
2 or 3 Things I Know About Her,Unknown,True,8074,2 or 3 Things I Know About Her,1967-03-17,87.0,Comedy; Drama,Jean-Luc Godard,,vietnam war; prostitute; coffee; housewife; prostitution; essay film,Argos films; Anouchka Films; Les Films du Carrosse; Parc Film,fr,0.0,0.0,,Marina Vlady; Jean-Luc Godard; Anny Duperey; Roger Montsoret; Raoul Lévy; Jean Narboni; Yves Beneyton; Juliet Berto; Helena Bielicic; Christophe Bourseiller,nursery; quotation
2001: A Space Odyssey,2001.0,True,62,2001: A Space Odyssey,1968-04-02,149.0,Science Fiction; Mystery; Adventure,Stanley Kubrick,,man vs machine; moon; jupiter; artificial intelligence (a.i.); based on novel or book; technology; super computer; space travel; space mission; moon base; astronaut; evolution; monolith; space station; space opera; philosophical; complex; 2000s; dreary; tense; audacious; baffled; excited,Stanley Kubrick Productions; Metro-Goldwyn-Mayer,en,12000000.0,71923560.0,,Keir Dullea; Gary Lockwood; William Sylvester; Douglas Rain; Daniel Richter; Leonard Rossiter; Margaret Tyzack; Robert Beatty; Sean Sullivan; Frank W. Miller,ai rebellion
2 Fast 2 Furious,Unknown,True,584,2 Fast 2 Furious,2003-06-05,107.0,Action; Crime; Thriller,John Singleton,Paul Walker; Tyrese Gibson; Eva Mendes; Ludacris; James Remar; Michael Ealy; Mark Boone Junior,"miami, florida; undercover; car race; sports car; street race; los angeles, california",Ardustry Entertainment; Mikona Productions; Original Film; Universal Pictures,en,76000000.0,236350661.0,,Cole Hauser; Thom Barry; Devon Aoki,demolition derby
2036: Nexus Dawn,2036.0,True,473072,2036: Nexus Dawn,2017-08-30,7.0,Science Fiction; Thriller,Luke Scott,Jared Leto; Benedict Wong; Ned Dennehy,android; prohibition era; dystopia; cyberpunk; entrepreneur; blade runner; 2030s; short film,Alcon Entertainment; RSA Films; 3AM; Scott Free Productions,en,0.0,0.0,,Ania Marson; Ade Sapara; Set Sjöstrand,
2012,2012.0,True,826440,2012,2012-01-01,2.0,,,Unknown,Unknown,,en,0.0,0.0,Johannes Gierlinger,,
2048: Nowhere to Run,2048.0,True,475759,2048: Nowhere to Run,2017-09-14,6.0,Science Fiction; Thriller; Action,Luke Scott,Dave Bautista,"android; fight; dystopia; cyberpunk; los angeles, california; farmer; blade runner; 2040s; short film",Alcon Entertainment; Scott Free Productions,en,0.0,0.0,,Björn Freiberg; Adam Savage; Gérard Miller; Gaia Ottman; Orion Ben,haggling
20th Century Women,Unknown,True,342737,20th Century Women,2016-12-28,118.0,Drama,Mike Mills,Annette Bening; Elle Fanning; Greta Gerwig; Billy Crudup,"parent child relationship; 1970s; feminism; punk rock; coming of age; feminist; free spirit; single mother; generation gap; santa barbara, california; mother son relationship; teenager",Annapurna Pictures; Archer Gray; Modern People,en,7000000.0,5664764.0,,Lucas Jade Zumann; Alison Elliott; Thea Gill; Vitaly Andrew LeBeau; Olivia Hone; Waleed Zuaiter,balcony
21 Jump Street,Unknown,True,64688,21 Jump Street,2012-03-14,109.0,Action; Comedy; Crime,Phil Lord; Christopher Miller,Jonah Hill; Channing Tatum; Brie Larson; Dave Franco; Rob Riggle; Ice Cube; Chris Parnell; Ellie Kemper,drug dealer; high school; investigation; nerd; male friendship; parody; jock; crude humor; undercover cop; high school student; buddy cop; buddy comedy; duringcreditsstinger; high school rivalry; based on tv series; cops; high school classmates,Columbia Pictures; Relativity Media; Original Film; Metro-Goldwyn-Mayer; Stephen J. Cannell Productions; SJC Studios,en,42000000.0,201585328.0,,DeRay Davis; Dax Flame,police academy; bicycle cop; party drugs
21,Unknown,True,8065,21,2008-03-27,123.0,Drama; Crime,Robert Luketic,Jim Sturgess; Kevin Spacey; Kate Bosworth; Aaron Yoo; Laurence Fishburne; Josh Gad,friendship; card game; casino; gambling; professor; harvard university; college; girlfriend; dormitory; blackjack; las vegas; derogatory; frustrated,Columbia Pictures; Relativity Media; Michael De Luca Productions; Trigger Street Productions,en,35000000.0,159808370.0,,Liza Lapira; Jacob Pitts; Jack McGee; Sam Golzari,cohabitant; studies
2046,2046.0,True,844,2046,2004-10-29,128.0,Drama; Science Fiction; Romance,Wong Kar-wai,Tony Leung; Gong Li; Zhang Ziyi; Chang Chen; Maggie Cheung,android; regret; lovesickness; jealousy; soulmates; based on novel or book; love of one's life; sexuality; symbolism; nostalgia; womanizer; murder; author; hong kong; train; break-up; illegal prostitution; extramarital affair; sensuality; 2040s; christmas eve,Shanghai Film Group; Orly Films; Paradis Films; Classic Productions; Precious Yield; Jet Tone Production,zh,12000000.0,20205757.0,,Faye Wong; Takuya Kimura; Carina Lau; Dong Jie; Thongchai McIntyre,
21 & Over,Unknown,True,107811,21 & Over,2013-03-01,93.0,Comedy,Jon Lucas; Scott Moore,Miles Teller,alcohol; birthday; friends; debauchery,Mandeville Films; Relativity Media; SkyLand Entertainment; Virgin Produced,en,13000000.0,48065672.0,,Skylar Astin; Justin Chon; Sarah Wright; François Chau; Jonathan Keltz; Christiann Castellanos; Samantha Futerman; Daniel Booko; Basil Harris,
22 vs. Earth,Unknown,True,811367,22 vs. Earth,2021-04-30,9.0,Family; Comedy; Fantasy; Animation,,Tina Fey; Alice Braga; Richard Ayoade,earth; prequel; planet earth; short film,Pixar,en,0.0,0.0,Kevin Nolting,Micah Chen; Adela Drabek; Aiyanna Miorin; Karee Ducharme; Samantha Ho; Azriel Dalman; Juliana Alcaron,soul
21 Grams,Unknown,True,470,21 Grams,2003-09-06,124.0,Drama; Crime; Thriller,Alejandro González Iñárritu,Sean Penn; Naomi Watts; Benicio del Toro; Charlotte Gainsbourg; Danny Huston; Melissa Leo; Clea DuVall,life and death; rage and hate; transplantation; faith; suicide attempt; loss of loved one; widow; ex-detainee; new mexico; sadness; car crash; multiple storylines,This is that; Y Productions; Mediana Productions Filmgesellschaft; Focus Features,en,20000000.0,60427839.0,,Carly Nahon; Claire Pakis; Nick Nichols,
21 Bridges,Unknown,True,535292,21 Bridges,2019-10-24,99.0,Crime; Action; Drama,,Chadwick Boseman; Sienna Miller; J.K. Simmons; Stephan James; Taylor Kitsch; Keith David,new york city; hostage; subway; detective; shootout; police officer killed; nypd; one night; neo-noir; manhunt; intense; awestruck; vibrant,AGBO; MWM Studios; Huayi Brothers Pictures,en,33000000.0,49900000.0,Brian Kirk,Alexander Siddig; Louis Cancelmi; Victoria Cartagena; Gary Carr,
24 Hour Party People,Unknown,True,2750,24 Hour Party People,2002-02-13,117.0,Comedy; Drama; Music,,Steve Coogan; Paddy Considine; Sean Harris; Lennie James; Shirley Henderson; Andy Serkis,northern england; based on novel or book; 1970s; nightclub; celebration; satirical; music,The Film Consortium; United Artists; Film4 Productions; Revolution Films; Baby Cow Productions,en,0.0,2802899.0,Michael Winterbottom,John Simm; Ralf Little; Danny Cunningham; Peter Kay,clubbing; manchester
28 Days,Unknown,True,10468,28 Days,2000-04-06,103.0,Comedy; Drama,Betty Thomas,Sandra Bullock; Viggo Mortensen; Dominic West; Elizabeth Perkins; Steve Buscemi; Alan Tudyk; Mike O'Malley; Marianne Jean-Baptiste,drug addiction; car crash; alcoholism; drug rehabilitation; wedding; sobriety; woman director,Columbia Pictures; Tall Trees Productions,en,43000000.0,62198945.0,,Azura Skye; Reni Santoni,withdrawal
27 Dresses,Unknown,True,6557,27 Dresses,2008-01-10,111.0,Comedy; Romance,Anne Fletcher,Katherine Heigl; James Marsden; Malin Åkerman; Judy Greer; Edward Burns; Melora Hardin; Maulik Pancholy; Krysten Ritter,newspaper; new love; lovesickness; sibling relationship; wedding planner; witness; bride; bridesmaid; romcom; sister; sibling rivalry; reporter; wedding; woman director; hilarious; cheerful; familiar,Fox 2000 Pictures; Spyglass Entertainment; Dune Entertainment III,en,30000000.0,160300000.0,,Brian Kerwin; David Castro,
28 Weeks Later,Unknown,True,1562,28 Weeks Later,2007-04-26,100.0,Horror; Thriller; Science Fiction,,Imogen Poots; Robert Carlyle; Rose Byrne; Jeremy Renner; Harold Perrineau; Idris Elba,"dying and death; london, england; sibling relationship; chaos; loss of loved one; mutant; supernatural; survival; on the run; zombie; escapade; virus; plague; female corpse; deadly",DNA Films; Figment Films; UK Film Council; Fox Atomic; Koan; Sogecine; Pornhub Premium,en,15000000.0,65048725.0,Juan Carlos Fresnadillo,Mackintosh Muggleton; Catherine McCormack; Amanda Walker; Shahid Ahmed,
3 Idiots,Unknown,True,20453,3 Idiots,2009-12-23,171.0,Drama; Comedy,,,suicide; suicide attempt; professor; college; middle class; slapstick comedy; coming of age; teacher; friends; engineering; university; subjective camera; smart kid; pregnant,Vidhu Vinod Chopra Productions; Vinod Chopra Films,other,9000000.0,70000000.0,Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi; Kareena Kapoor Khan; Boman Irani; Omi Vaidya; Rahul Kumar; Mona Singh; Javed Jaffrey; Olivier Lafont,poor kid; student; delhi
22 Jump Street,Unknown,True,187017,22 Jump Street,2014-06-05,112.0,Crime; Comedy; Action,Phil Lord; Christopher Miller,Jonah Hill; Channing Tatum; Peter Stormare; Wyatt Russell; Jillian Bell; Ice Cube; Nick Offerman,drug dealer; sarcasm; college; male friendship; sequel; undercover cop; buddy cop; buddy comedy; aftercreditsstinger; duringcreditsstinger; based on tv series,Columbia Pictures; Original Film; MRC; LStar Capital; Metro-Goldwyn-Mayer; 75 Year Plan Productions; Storyville Films; Cannell Studios,en,50000000.0,331333876.0,,Amber Stevens West; Keith Lucas; Kenneth Lucas,
28 Years Later,Unknown,True,1100988,28 Years Later,2025-06-18,115.0,Horror; Thriller; Science Fiction,Danny Boyle,Aaron Taylor-Johnson; Ralph Fiennes; Jack O'Connell; Stella Gonet,england; post-apocalyptic future; sequel; survival; zombie; zombie apocalypse; violence,Columbia Pictures; DNA Films; Decibel Films; TSG Entertainment,en,60000000.0,126502114.0,,Jodie Comer; Alfie Williams; Edvin Ryding; Christopher Fulford; Chi Lewis-Parry; Rocco Haynes,
28 Days Later,Unknown,True,170,28 Days Later,2002-10-31,113.0,Horror; Thriller; Science Fiction,Danny Boyle,Cillian Murphy; Naomie Harris; Brendan Gleeson; Christopher Eccleston,"daughter; taxi; london, england; submachine gun; gas station; infection; outbreak; survival; laboratory; hospital; zombie; brutality; church; rage; epidemic; military; virus; hopeless; frightened; zombies",DNA Films,en,8000000.0,85032676.0,,Megan Burns; Noah Huntley; Luke Mably; Stuart McQuarrie; Ricci Harnett; Leo Bill,waking from coma; animal research
3 Women,Unknown,True,41662,3 Women,1977-04-10,124.0,Drama,Robert Altman,Shelley Duvall; Sissy Spacek,california; suicide attempt; roommates; identity crisis; avant-garde; pregnant woman; dream sequence; expectant mother; mysterious; dissociative identity disorder; shooting range; dual personality; lonely woman; duality,Lion's Gate Films; 20th Century Fox,en,1500000.0,0.0,,Janice Rule; Robert Fortier; Ruth Nelson; John Cromwell; Sierra Pecheur; Craig Richard Nelson; Maysie Hoy; Belita Moreno,still birth; new girl in town; taken under wing; california desert; mural; mural artist
3 from Hell,Unknown,True,489064,3 from Hell,2019-09-16,115.0,Horror; Thriller,Rob Zombie,Sheri Moon Zombie; Bill Moseley; Richard Brake; Sid Haig; Jeff Daniel Phillips; Dee Wallace; Richard Edson; Danny Trejo,prisoner; sadism; clown; sequel; murder; death; firefly,Lionsgate; Capital Arts Entertainment; Spookshow International; Saban Films,en,3000000.0,2295825.0,,Emilio Rivera; Kevin Jackson,rejects
25th Hour,Unknown,True,66568,The 25th Hour,1967-04-26,121.0,Drama; War,,Anthony Quinn; Marcel Dalio,world war ii; jew persecution,C. C. Champion; Les Films Concordia; Avala Film; Carlo Ponti Production; Metro-Goldwyn-Mayer,fr,0.0,0.0,Henri Verneuil,Virna Lisi; Grégoire Aslan; Michael Redgrave; Marius Goring; Jan Werich; Serge Reggiani; Alexander Knox; John Le Mesurier,
300,Unknown,True,1271,300,2007-03-07,116.0,Action; Adventure; War,Zack Snyder,Gerard Butler; Lena Headey; Dominic West; David Wenham; Michael Fassbender; Rodrigo Santoro,epic; army; narration; gore; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; sparta greece; war; bloody death; amused; audacious,Virtual Studios; Legendary Pictures; Hollywood Gang Productions; Atmosphere Entertainment MM; Nimar Studios; Warner Bros. Pictures; Cruel & Unusual Films,en,65000000.0,456082343.0,,Vincent Regan; Tom Wisdom; Andrew Pleavin; Andrew Tiernan,ancient warfare; 5th century bc; sparta; spartans; battle of thermopylae; god king; battle axe; based on real events
31,2016.0,True,284564,31,2016-09-15,102.0,Horror; Thriller,Rob Zombie,Sheri Moon Zombie; Richard Brake; Meg Foster; Malcolm McDowell; Daniel Roebuck; Jeff Daniel Phillips,nazi; sadism; psychopath; 1970s; texas; halloween; satanism; clown; carnival; survival; murder; chainsaw; maniac; game; carny; killer clown; ax; death game,Spectacle Entertainment Group; Windy Hill Pictures; Protagonist Pictures; Bow + Arrow Entertainment; PalmStar Media,en,1500000.0,850419.0,,Lawrence Hilton-Jacobs; Andrea Dora; Ginger Lynn Allen; Jane Carr,betting; midget
365 Days: This Day,Unknown,True,829557,365 Days: This Day,2022-04-26,111.0,Romance; Drama,,,gangster; sequel; bdsm; rich man poor woman; sex,Ekipa; Open Mind Production,other,0.0,0.0,Tomasz Mandes; Barbara Białowąs,Anna-Maria Sieklucka; Michele Morrone; Simone Susinna; Magdalena Lamparska; Otar Saralidze; Natasza Urbańska; Ramón Langa; Ewa Kasprzyk; Dariusz Jakubowski; Tomasz Mandes,erotique
3:10 to Yuma,2007.0,True,5176,3:10 to Yuma,2007-09-06,122.0,Western,James Mangold,Russell Crowe; Christian Bale; Peter Fonda; Gretchen Mol; Ben Foster; Dallas Roberts; Alan Tudyk; Vinessa Shaw; Logan Lerman; Kevin Durand,dying and death; race against time; hero; saloon; parent child relationship; liberation of prisoners; arizona; transport of prisoners; wilderness; stetson; rivalry; gang; gunfight; family; dishonesty; heroic mission; grand; factual,Lionsgate; Tree Line Films; Relativity Media; Yuma,en,55000000.0,70000000.0,,,railway car; righting the wronged
30 Minutes or Less,Unknown,True,62206,30 Minutes or Less,2011-08-11,83.0,Action; Adventure; Comedy,Ruben Fleischer,Jesse Eisenberg; Aziz Ansari; Danny McBride; Nick Swardson; Michael Peña; Fred Ward; Brett Gelman,pizza delivery; aftercreditsstinger,Columbia Pictures; Red Hour; MRC,en,28000000.0,40500000.0,,Dilshad Vadsaria; Bianca Kajlich; Lucas Fleischer,pizza boy
