input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue
"""Sr.""",Unknown,True,857832.0,SR Kalyanamandapam,2021-08-06,145.0,Comedy; Drama; Romance,Sridhar Gade,Kiran Abbavaram; Priyanka Jawalkar; Sai Kumar; Tulasi; Rajsekhar Aningi; Srikanth Iyengar; Tanikella Bharani; Thummala Narasimha Reddy; Gangavva,,Elite Entertainments,te,0.0,0.0
#Alive,2020.0,True,758534.0,Be Alive Just Like You,2020-12-04,91.0,Drama; Romance,Lai Meng-Chieh,Rexen Cheng Jen-Shuo; Ally Chiu; Jieh-Wen King; Alice Tsai-yi Huang; Cheng Chih-wei,,MM2 Entertainment,zh,0.0,0.0
'71,Unknown,True,252178.0,'71,2014-10-10,99.0,Thriller; Action; Drama; War,Yann Demange,Jack O'Connell; Sean Harris; Paul Anderson; Sam Reid; Sam Hazeldine; Barry Keoghan; Charlie Murphy; Richard Dormer; Killian Scott; Babou Ceesay,"1970s; riot; northern ireland; survival; soldier; ira (irish republican army); explosion; combat; belfast, north ireland; abandoned",BFI; Screen Yorkshire; Creative Scotland; Warp Films; Crab Apple Films; Film4 Productions,en,11000000.0,3200000.0
(500) Days of Summer,Unknown,True,19913.0,(500) Days of Summer,2009-07-17,95.0,Comedy; Drama; Romance,Marc Webb,Joseph Gordon-Levitt; Zooey Deschanel; Geoffrey Arend; Chloë Grace Moretz; Matthew Gray Gubler; Clark Gregg; Patricia Belcher; Rachel Boston; Minka Kelly; Charles Walker,"jealousy; gallery; fight; date; architect; interview; sister; love; friends; fate; los angeles, california; summer; year; heartache; assertive",Fox Searchlight Pictures; Watermark Pictures; Dune Entertainment III,en,7500000.0,60781545.0
...And Justice for All,Unknown,True,17443.0,...And Justice for All,1979-10-19,119.0,Drama,Norman Jewison,Al Pacino; Jack Warden; John Forsythe; Lee Strasberg; Christine Lahti; Craig T. Nelson; Jeffrey Tambor; Sam Levene; Robert Christian; Thomas G. Waites,lawyer; courtroom; extramarital affair; courtroom drama; legal thriller; bitter,Columbia Pictures,en,6000000.0,33300000.0
101 Dalmatians,Unknown,True,11674.0,101 Dalmatians,1996-11-27,103.0,Family; Comedy,Stephen Herek,Glenn Close; Jeff Daniels; Joely Richardson; Joan Plowright; Hugh Laurie; Mark Williams; John Shrapnel; Tim McInnerny; Hugh Fraser; Zohren Weiss,"london, england; fur; fashion designer; puppy; fur coat; based on children's book; dog; dalmatian; female villain; pets; live action remake; playful",Great Oaks Entertainment; Walt Disney Pictures; Wizzer Productions,en,54000000.0,320689294.0
"10,000 BC",Unknown,True,7840.0,"10,000 BC",2008-03-04,109.0,Adventure; Action; Drama; Fantasy,Roland Emmerich,Steven Strait; Camilla Belle; Cliff Curtis; Nathanael Baring; Mo Zinal; Affif Ben Badra; Mona Hammond; Marco Khan; Reece Ritchie; Joel Fry,hunter; indigenous; fighter; female lover; pyramid; mammoth; sapient; mountain village; stone age; primitive time; prehistory; saber-toothed tiger; admiring,"Centropolis Entertainment; Legendary Pictures; The Department of Trade, Industry and Competition of South Africa; Moonlighting Films; Warner Bros. Pictures",en,105000000.0,269784201.0
10 Cloverfield Lane,Unknown,True,333371.0,10 Cloverfield Lane,2016-03-10,104.0,Thriller; Science Fiction; Drama; Horror,Dan Trachtenberg,John Goodman; Mary Elizabeth Winstead; John Gallagher Jr.; Douglas M. Griffin; Suzanne Cryer; Bradley Cooper; Sumalee Montano; Frank Mottek,kidnapping; paranoia; bunker; basement; survivalist; apocalypse; car accident; captive,Bad Robot,en,15000000.0,110216998.0
101 Dalmatians II: Patch's London Adventure,Unknown,True,13654.0,101 Dalmatians II: Patch's London Adventure,2003-03-02,74.0,Family; Animation; Adventure; Comedy,Jim Kammerud; Brian Smith,Barry Bostwick; Jason Alexander; Martin Short; Bobby Lockwood; Susanne Blakeslee; Samuel West; Maurice LaMarche; Jeff Bennett; Jodi Benson; Tim Bentinck,"london, england; cartoon; sequel; puppy; dog; dalmatian; aftercreditsstinger",Disney Television Animation; DisneyToon Studios; Walt Disney Pictures,en,0.0,0.0
10 Things I Hate About You,Unknown,True,4951.0,10 Things I Hate About You,1999-03-30,97.0,Comedy; Romance; Drama,Gil Junger,Heath Ledger; Julia Stiles; Joseph Gordon-Levitt; Larisa Oleynik; David Krumholtz; Andrew Keegan; Susan May Pratt; Gabrielle Union; Larry Miller; Daryl Mitchell,high school; deception; based on play or musical; coming of age; teen movie; shrew; valentine's day; shakespeare in modern dress; opposites attract; duringcreditsstinger; teenage romance; overprotective father,Mad Chance; Jaret Entertainment,en,16000000.0,53478166.0
