title,year,clean_title,appearance_count
Alien³,,alien,241
Evil Dead,,evil dead,213
Final Destination,,final destination,190
Parasite,2019.0,parasite,179
Barbie,,barbie,175
La La Land,,la la land,172
Everything Everywhere All at Once,,everything everywhere all at once,171
Nope,,nope,171
Once Upon a Time... in Hollywood,,once upon time in hollywood,171
The Batman,,batman,171
Dune,2021.0,dune,169
Knives Out,2019.0,knives out,169
Oppenheimer,2023.0,oppenheimer,169
Challengers,,challengers,168
Interstellar,,interstellar,168
The Menu,2022.0,menu,168
Lady Bird,,lady bird,167
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,167
Gone Girl,,gone girl,166
Joker,2019.0,joker,165
Midsommar,,midsommar,165
Arrival,2016.0,arrival,164
Dune: Part Two,,dune part two,164
Whiplash,2014.0,whiplash,164
American Psycho,,american psycho,163
Sinners,2025.0,sinners,163
Fight Club,,fight club,162
The Social Network,,social network,161
Baby Driver,,baby driver,160
Get Out,2017.0,get out,160
Glass Onion,,glass onion,160
The Substance,,substance,160
Anora,,anora,159
Poor Things,2023.0,poor things,159
A Taxi Driver,,taxi driver,158
Inception,,inception,158
Nosferatu,2024.0,nosferatu,158
Pulp Fiction,,pulp fiction,158
Se7en,,se7en,158
The Dark Knight,,dark knight,158
Mad Max: Fury Road,,mad max fury road,157
Spider-Man: Homecoming,,spiderman homecoming,157
The Shining,,shining,157
Black Panther,,black panther,156
Little Women,2019.0,little women,156
The Matrix,,matrix,156
Scream,,scream,155
The Silence of the Lambs,,silence of lambs,155
The Truman Show,,truman show,155
The Wolf of Wall Street,,wolf of wall street,155
Hereditary,,hereditary,154
Us,2019.0,us,154
Zodiac,,zodiac,154
Avengers: Infinity War,,avengers infinity war,153
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,153
Spider-Man,,spiderman,153
The Grand Budapest Hotel,,grand budapest hotel,153
Thor: Ragnarok,,thor ragnarok,153
Inside Out,2015.0,inside out,152
Scott Pilgrim vs. the World,,scott pilgrim vs world,152
Spider-Man: Across the Spider-Verse,,spiderman across spiderverse,152
Top Gun: Maverick,,top gun maverick,152
Avengers: Endgame,,avengers endgame,151
Kill Bill: Vol. 1,,kill bill vol 1,151
The Lighthouse,2019.0,lighthouse,151
Guardians of the Galaxy,,guardians of galaxy,150
Her,,her,150
The Holdovers,,holdovers,150
Fantastic Mr. Fox,,fantastic mr fox,149
Uncut Gems,,uncut gems,149
A Quiet Place,2018.0,quiet place,148
Bottoms,,bottoms,148
Jurassic Park,,jurassic park,148
Mickey 17,,mickey 17,148
Black Swan,,black swan,147
Drive,2011.0,drive,147
Ex Machina,2015.0,ex machina,147
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,147
John Wick,,john wick,147
Saltburn,,saltburn,147
Spider-Man: Far From Home,,spiderman far from home,147
The Favourite,,favourite,147
X,2022.0,x,147
Blade Runner 2049,2049.0,blade runner 2049,146
Booksmart,,booksmart,146
Call Me by Your Name,,call me by your name,146
Captain America: Civil War,,captain america civil war,146
Inglourious Basterds,,inglourious basterds,146
Spider-Man: No Way Home,,spiderman no way home,146
Tenet,,tenet,146
Babylon,2022.0,babylon,145
Deadpool,,deadpool,145
Killers of the Flower Moon,,killers of flower moon,145
Mulholland Drive,,mulholland drive,145
Star Wars,,star wars,145
The Hunger Games,,hunger games,145
Prisoners,,prisoners,144
The Nice Guys,,nice guys,144
The Witch,2015.0,witch,144
Before Sunrise,,before sunrise,143
Dunkirk,2017.0,dunkirk,143
It,2017.0,it,143
Mission: Impossible – Fallout,,mission impossible fallout,143
Past Lives,,past lives,143
The Avengers,2012.0,avengers,143
Titanic,1997.0,titanic,143
Frances Ha,,frances ha,142
Good Time,,good time,142
Moonlight,2016.0,moonlight,142
The Banshees of Inisherin,,banshees of inisherin,142
The Dark Knight Rises,,dark knight rises,142
Anatomy of a Fall,,anatomy of fall,141
Furiosa: A Mad Max Saga,,furiosa mad max saga,141
Marriage Story,2019.0,marriage story,141
Spider-Man 2,,spiderman 2,141
Star Wars: The Last Jedi,,star wars last jedi,141
The Florida Project,,florida project,141
The Thing,,thing,141
Captain America: The Winter Soldier,,captain america winter soldier,140
Conclave,,conclave,140
Jaws,,jaws,140
Longlegs,,longlegs,140
Nightcrawler,,nightcrawler,140
Phantom Thread,,phantom thread,140
Ratatouille,,ratatouille,140
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,140
The Predator,,predator,140
Barbarian,2022.0,barbarian,139
May December,,may december,139
Psycho,,psycho,139
Shutter Island,,shutter island,139
The Prestige,,prestige,139
Wicked,2024.0,wicked,139
Aftersun,,aftersun,138
Don't Look Up,2021.0,dont look up,138
Moonrise Kingdom,,moonrise kingdom,138
Soul,2020.0,soul,138
Star Wars: The Force Awakens,,star wars force awakens,138
Back to the Future,,back to future,137
Batman Begins,,batman begins,137
Beetlejuice,,beetlejuice,137
Home Alone,,home alone,137
Last Night in Soho,,last night in soho,137
Licorice Pizza,,licorice pizza,137
No Country for Old Men,,no country for old men,137
Ready or Not,2019.0,ready or not,137
Ant-Man,,antman,136
Bodies Bodies Bodies,,bodies bodies bodies,136
Doctor Strange in the Multiverse of Madness,,doctor strange in multiverse of madness,136
Harry Potter and the Philosopher's Stone,,harry potter and philosophers stone,136
Iron Man,2008.0,iron man,136
Jojo Rabbit,,jojo rabbit,136
Mean Girls,,mean girls,136
Portrait of a Lady on Fire,,portrait of lady on fire,136
The Hunger Games: Catching Fire,,hunger games catching fire,136
Avatar,,avatar,135
Donnie Darko,,donnie darko,135
Eyes Wide Shut,,eyes wide shut,135
Fargo,,fargo,135
Harry Potter and the Prisoner of Azkaban,,harry potter and prisoner of azkaban,135
"I, Tonya",,i tonya,135
Logan,2017.0,logan,135
Pearl,2022.0,pearl,135
Priscilla,,priscilla,135
The Empire Strikes Back,,empire strikes back,135
Captain Marvel,,captain marvel,134
Carol,2015.0,carol,134
Django Unchained,,django unchained,134
M3GAN,,m3gan,134
Palm Springs,2020.0,palm springs,134
Punch-Drunk Love,,punchdrunk love,134
Rogue One: A Star Wars Story,,rogue one star wars story,134
Spirited Away,,spirited away,134
The Fabelmans,,fabelmans,134
The Incredibles,,incredibles,134
The Royal Tenenbaums,,royal tenenbaums,134
Annihilation,,annihilation,133
Avengers: Age of Ultron,,avengers age of ultron,133
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,133
Bones and All,,bones and all,133
Doctor Strange,2016.0,doctor strange,133
GoodFellas,,goodfellas,133
Halloween,1978.0,halloween,133
Kill Bill: Vol. 2,,kill bill vol 2,133
Reservoir Dogs,,reservoir dogs,133
Suicide Squad,2016.0,suicide squad,133
The Shape of Water,,shape of water,133
Trap,2024.0,trap,133
